List Price,Sale Price,Age,Sq Ft Total,Lot Size,Listing Date,Sale Date,Close Date,DOM,Zip Code,Original List Price,Year Built,Lot Size,BathsTotal,BedsTotal,BathsFull,BathsHalf
2088000,2000000,64,2140,7263,6/8/2023,7/7/2023,8/3/2023,29,94043,2088000,1959,7263,2,3,2,0
2198000,2000000,98,1519,5500,3/21/2023,5/6/2023,5/31/2023,37,94041,2298000,1925,5500,2,3,2,0
1999000,1950000,44,1389,6710,10/13/2022,11/1/2022,11/29/2022,19,94043,1999000,1978,6710,2,2,2,0
1829888,1930000,56,1301,6480,5/16/2023,6/4/2023,7/26/2023,19,94041,1829888,1967,6480,2,2,1,1
1649000,1890000,76,1343,5817,6/1/2023,6/1/2023,6/14/2023,0,94041,1649000,1947,5817,1,3,1,0
1799000,1850000,69,1813,6110,4/27/2023,5/26/2023,6/16/2023,29,94043,1995000,1954,6110,3,4,2,1
1898000,1820000,77,2494,6250,3/9/2022,9/18/2022,10/19/2022,193,94041,2398000,1945,6250,3,4,3,0
1890000,1800000,76,1298,5817,7/19/2023,7/19/2023,7/25/2023,0,94041,1890000,1947,5817,1,2,1,0
1798000,1800000,101,1230,4224,6/27/2023,7/5/2023,8/1/2023,8,94041,1798000,1922,4224,2,2,2,0
1950000,1785000,58,1415,6635,9/30/2022,11/7/2022,12/2/2022,38,94043,2100000,1964,6635,2,3,2,0
1625000,1750000,25,1375,2534,6/1/2023,6/7/2023,6/22/2023,6,94043,1625000,1998,2534,3,3,2,1
1300000,1750000,97,1754,7406,7/5/2022,9/21/2022,10/21/2022,28,94041,1300000,1925,7406,3,6,2,1
1799000,1738000,15,1787,2687,12/2/2022,2/1/2023,2/16/2023,61,94041,1850000,2008,2687,3,3,2,1
1649000,1735000,72,1194,7260,2/7/2023,2/16/2023,3/9/2023,9,94041,1649000,1951,7260,1,3,1,0
1798000,1706500,14,1844,1570,9/15/2022,11/3/2022,12/5/2022,49,94041,1998000,2008,1570,4,3,3,1
1799995,1680000,76,1104,6845,3/10/2023,3/23/2023,4/5/2023,13,94041,1799995,1947,6845,1,2,1,0
1530000,1630000,61,1302,6901,5/4/2023,5/8/2023,5/23/2023,4,94043,1530000,1962,6901,2,3,2,0
1488888,1601485,60,1420,6462,9/9/2022,9/15/2022,10/25/2022,6,94043,1488888,1962,6462,2,4,2,0
1599000,1550000,69,816,5056,6/9/2023,6/22/2023,7/21/2023,13,94043,1599000,1954,5056,1,2,1,0
1489000,1500000,34,1755,4378,9/27/2022,9/27/2022,9/27/2022,0,94043,1489000,1988,4378,3,3,3,0
